"Kind","Agent_Id","Queue_Id","Thread_Id","Dispatch_Id","Kernel_Id","Kernel_Name","Correlation_Id","Start_Timestamp","End_Timestamp","Private_Segment_Size","Group_Segment_Size","Workgroup_Size_X","Workgroup_Size_Y","Workgroup_Size_Z","Grid_Size_X","Grid_Size_Y","Grid_Size_Z"
"KERNEL_DISPATCH",4,1,74441,1,2,"__amd_rocclr_initHeap",14,1614963487781917,1614963487791997,0,0,256,1,1,256,1,1
"KERNEL_DISPATCH",4,1,74441,2,18,"taylor_base(float*, float*, unsigned long, unsigned long)",14,1614963488155186,1614963547425378,1024,0,256,1,1,100000000,1,1
"KERNEL_DISPATCH",4,1,74441,3,18,"taylor_base(float*, float*, unsigned long, unsigned long)",27,1614963547688898,1614963607003411,1024,0,256,1,1,100000000,1,1
"KERNEL_DISPATCH",4,1,74441,4,18,"taylor_base(float*, float*, unsigned long, unsigned long)",40,1614963607259568,1614963666422240,1024,0,256,1,1,100000000,1,1
"KERNEL_DISPATCH",4,1,74441,5,18,"taylor_base(float*, float*, unsigned long, unsigned long)",53,1614963666675520,1614963726144752,1024,0,256,1,1,100000000,1,1
"KERNEL_DISPATCH",4,1,74441,6,18,"taylor_base(float*, float*, unsigned long, unsigned long)",66,1614963726400940,1614963785618174,1024,0,256,1,1,100000000,1,1
"KERNEL_DISPATCH",4,1,74441,7,18,"taylor_base(float*, float*, unsigned long, unsigned long)",79,1614963785877534,1614963845111089,1024,0,256,1,1,100000000,1,1
"KERNEL_DISPATCH",4,1,74441,8,18,"taylor_base(float*, float*, unsigned long, unsigned long)",92,1614963845365613,1614963904578204,1024,0,256,1,1,100000000,1,1
"KERNEL_DISPATCH",4,1,74441,9,18,"taylor_base(float*, float*, unsigned long, unsigned long)",105,1614963904833244,1614963964045355,1024,0,256,1,1,100000000,1,1
"KERNEL_DISPATCH",4,1,74441,10,18,"taylor_base(float*, float*, unsigned long, unsigned long)",118,1614963964297018,1614964023568008,1024,0,256,1,1,100000000,1,1
"KERNEL_DISPATCH",4,1,74441,11,18,"taylor_base(float*, float*, unsigned long, unsigned long)",131,1614964023823368,1614964083081238,1024,0,256,1,1,100000000,1,1
"KERNEL_DISPATCH",4,1,74441,12,18,"taylor_base(float*, float*, unsigned long, unsigned long)",144,1614964083334752,1614964142653427,1024,0,256,1,1,100000000,1,1
"KERNEL_DISPATCH",4,1,74441,13,18,"taylor_base(float*, float*, unsigned long, unsigned long)",157,1614964142910867,1614964202141862,1024,0,256,1,1,100000000,1,1
"KERNEL_DISPATCH",4,1,74441,14,18,"taylor_base(float*, float*, unsigned long, unsigned long)",170,1614964202395872,1614964261645902,1024,0,256,1,1,100000000,1,1
"KERNEL_DISPATCH",4,1,74441,15,18,"taylor_base(float*, float*, unsigned long, unsigned long)",183,1614964261900782,1614964321002492,1024,0,256,1,1,100000000,1,1
"KERNEL_DISPATCH",4,1,74441,16,18,"taylor_base(float*, float*, unsigned long, unsigned long)",196,1614964321256877,1614964380388995,1024,0,256,1,1,100000000,1,1
